,r_cc,r_oc,rav,rvol,bvol,rvol_m,rvol_p,ivol,jvol,sjv,sjv_p,sjv_m,rs,rk
2001-01-02,,0.0029553032222178802,0.027075506368057875,0.029491147479183435,0.029483531126585274,0.020085805730188585,0.02159370713444244,0.029491147479183435,0.0,0.001507901404253855,0.001507901404253855,0.0,0.4169927644743086,5.669626047021314
2001-01-03,0.11124504900474934,0.12274582499851255,0.036728957212555625,0.0540986091852036,0.045447235615265064,0.0226908610034113,0.04910992102108559,0.045447235615265064,0.008651373569938538,0.026419060017674294,0.026419060017674294,0.0,4.841197548999355,41.74567314141986
2001-01-04,-0.015968403178731112,-0.017287664583793782,0.03273490150039023,0.040384202101090776,0.04140783451544664,0.02692531297327072,0.03009836043097969,0.040384202101090776,0.0,0.0031730474577089697,0.0031730474577089697,0.0,0.6633209922401601,9.34887783247213
2001-01-05,0.00868118974504681,0.0016636170864002212,0.026581163523555,0.029290369323862565,0.029323447380249935,0.02012564804760717,0.021281072007587252,0.029290369323862565,0.0,0.0011554239599800807,0.0011554239599800807,0.0,0.2750395080372092,5.481495805423151
2001-01-08,-0.004665120090156822,0.0010025063496255707,0.02180829039258658,0.024466645485360893,0.024720142578888372,0.01698358086072988,0.017611777946970043,0.024466645485360893,0.0,0.0006281970862401613,0.0006281970862401613,0.0,0.15101717580783294,4.955171321850357
2001-01-09,-0.01328112496727743,-0.021927670356619147,0.024700747370765948,0.026765332628556435,0.025740379910283228,0.01924865986826123,0.01859763759172809,0.026765332628556435,0.0,-0.0006510222765331412,-0.0,-0.0006510222765331412,0.0466670785112072,4.010698059908907
2001-01-10,0.013615070537253646,0.012430867278804526,0.020649377071849818,0.023504561080699517,0.023569701812150814,0.015596712289170355,0.017584281542479267,0.023504561080699517,0.0,0.001987569253308912,0.001987569253308912,0.0,0.5539008975565863,7.042611223658288
2001-01-11,-0.0003339455699760782,0.00737515914192384,0.021543298377193328,0.02535872197180833,0.022636630384706938,0.01741378075215339,0.018434343491413166,0.022636630384706938,0.002722091587101391,0.0010205627392597776,0.0010205627392597776,0.0,0.7834198994527389,14.101101302380409
2001-01-12,0.0026684472138335264,0.001666944876744127,0.023995948867214702,0.028131987145265273,0.02690869997570694,0.018563344426073564,0.021137903028927325,0.02690869997570694,0.0012232871695583326,0.002574558602853761,0.002574558602853761,0.0,0.710059675421904,7.263374778657142
2001-01-16,-0.012739025777429714,-0.011405692246565482,0.013729618586949327,0.01597044704893838,0.014701470391451784,0.011806304089574898,0.010754829737723967,0.014701470391451784,0.0012689766574865962,-0.0010514743518509305,-0.0,-0.0010514743518509305,-0.2589356700801882,7.87695666750525
2001-01-17,0.04195495571613879,0.01318888928815372,0.017483679673597187,0.020056780779012157,0.019189948765629718,0.013136365010356012,0.015156199046332353,0.020056780779012157,0.0,0.0020198340359763416,0.0020198340359763416,0.0,0.6124168201442358,5.716529823125738
2001-01-18,0.11738754425316629,0.035132418798185835,0.021608972947400187,0.026465894998760182,0.02470403850056919,0.017691502074563423,0.01968386020147261,0.02470403850056919,0.001761856498190991,0.0019923581269091876,0.0019923581269091876,0.0,0.3316927616053251,13.923477024242995
2001-01-19,0.028362649908122078,0.03964585944357096,0.023067028360669005,0.025549615001766116,0.025811528319462023,0.01588730637906697,0.02000940585714953,0.025549615001766116,0.0,0.00412209947808256,0.00412209947808256,0.0,0.7600424511771431,4.999837405108164
2001-01-22,-0.028075004285543333,-0.007164380837935803,0.013080411693062557,0.015137958529701461,0.01387563651074976,0.010724170856749383,0.010684097897445928,0.01387563651074976,0.001262322018951701,-4.007295930345475e-05,-0.0,-4.007295930345475e-05,0.059618380209019155,8.016790260768863
2001-01-23,0.003158653021008781,-0.004862014439820182,0.015208219776524454,0.017137538633735284,0.01579518347318683,0.012594663589136428,0.011621948180027755,0.01579518347318683,0.001342355160548453,-0.000972715409108673,-0.0,-0.000972715409108673,-0.35023571883027715,4.909478235806275
2001-01-24,0.013101867850771396,0.011955735920148841,0.014390890453152333,0.01567660965068762,0.015991469946870594,0.010700110688090105,0.01145703807284641,0.01567660965068762,0.0,0.0007569273847563059,0.0007569273847563059,0.0,0.12314444072481258,4.032931960998988
2001-01-25,0.0028256588453297754,0.0056593246689013565,0.014922679472157772,0.017230047260611454,0.016844864723133523,0.011721015825722152,0.012629026748569146,0.017230047260611454,0.0,0.000908010922846994,0.000908010922846994,0.0,0.21487007691788892,5.557340187350715
2001-01-26,0.030840060458907265,0.040764996600663836,0.019517114906143766,0.02060796554667688,0.01976065559656155,0.01341511593378231,0.015643621973705484,0.02060796554667688,0.0,0.002228506039923174,0.002228506039923174,0.0,0.3683396697534739,3.824983752559731
2001-01-29,0.0065557553814964125,0.02194025003841288,0.011194820726313713,0.012862034271423965,0.012640609740427322,0.008249475366572324,0.009868033328662864,0.012862034271423965,0.0,0.0016185579620905406,0.0016185579620905406,0.0,0.5261150667179018,5.751817257095082
2001-01-30,0.013906507851754978,0.014733151941552584,0.012730229368907274,0.01555324939930767,0.015221651937434702,0.011053964480817446,0.010941363540888796,0.01555324939930767,0.0,-0.0001126009399286497,-0.0,-0.0001126009399286497,-0.8910990339660252,16.063501928818717
2001-01-31,-0.03744839546171765,-0.030346551421989932,0.01441659130161693,0.017847964335739302,0.017297333862386192,0.01418558731368011,0.010831386960855012,0.017847964335739302,0.0,-0.003354200352825097,-0.0,-0.003354200352825097,-0.8473335080985915,9.898940850764582
